Date,91-day Rejection Rate,91-day Wair,182-day Rejection Rate,182-day Wair,364-day Rejection Rate,364-day Wair,91-day Bid-to-cover,182-day Bid-to-cover,364-day Bid-to-cover
2018-02-26,100.0,,100.0,,100.0,,1.480888888888889,0.635,0.838
2018-03-12,13.633333333333333,3.024,41.41666666666667,3.1649999999999996,50.19815059445178,3.311,1.7914444444444444,1.1191666666666666,0.757
2018-03-26,0.0,2.995,38.56702091189578,3.206,24.10122514561157,3.434,1.791111111111111,0.9723333333333334,0.9958
2018-04-02,34.699999999999996,3.1910000000000003,100.0,,100.0,,1.745,0.66575,0.37383333333333335
2018-04-10,0.0,3.3459999999999996,100.0,,100.0,,1.7802,0.7825,0.49
2018-04-16,0.0,3.4930000000000003,37.53753753753754,3.6839999999999997,49.49053857350801,3.83,2.3054,0.8325,0.5725
2018-04-23,0.0,3.5970000000000004,12.875,3.8890000000000002,43.40277777777778,3.9859999999999998,2.1828,1.02125,0.48
2018-04-30,0.0,3.485,9.2,4.018999999999999,100.0,,3.0306,1.58925,0.49666666666666665
2018-05-07,0.0,3.4389999999999996,0.0,3.9579999999999997,100.0,,3.029,2.655,0.7633333333333333
2018-05-15,0.0,3.451,0.0,3.934,28.92561983471074,4.226,3.0172,2.623,0.5243333333333333
2018-05-21,0.0,3.437,0.0,3.879,33.900000000000006,4.297,3.202,3.515,1.4643333333333333
2018-05-28,0.0,3.3000000000000003,0.0,3.6999999999999997,0.0,4.198,2.76,3.3935,1.7558333333333334
2018-06-04,0.0,3.2960000000000003,0.0,3.6769999999999996,29.349999999999998,4.2459999999999996,2.4492,2.644,1.1415
2018-06-11,0.0,3.3230000000000004,0.0,3.714,43.85,4.324,1.784,1.80775,1.3065
2018-06-18,100.0,,0.0,3.766,27.400000000000002,4.356999999999999,1.304,1.7765,1.4555
2018-06-25,28.299999999999997,3.4840000000000004,38.4,3.873,2.4833333333333334,4.429,1.3436,1.42125,1.3085
2018-07-02,0.0,3.404,39.2,3.9370000000000003,32.85,4.566,3.6095,1.054,1.134
2018-07-09,0.0,3.308,0.0,4.045,26.68333333333333,4.67,3.95,1.2278,1.3418333333333334
2018-07-16,0.0,3.2910000000000004,31.52,4.185,22.05,4.7669999999999995,3.382,1.6172,1.0978333333333334
2018-07-23,0.0,3.2190000000000003,0.0,4.234999999999999,0.0,4.809,2.60775,1.7992,2.2481666666666666
2018-07-30,0.0,3.261,0.0,4.294,0.0,4.9,2.39625,2.6108,2.1961666666666666
2018-08-06,0.0,3.29,0.0,4.186,0.0,4.899,2.83875,3.4632,2.952
