"Auction Date","Tenor (in years)","Bid-to-Cover","WAIR","Rejection Rates"
2017-02-07,3,2.26526666666667,"3.492E-2",0
2017-02-21,5,2.5996,"4.0300000000000002E-2",0
2017-03-07,3,2.3856,"3.8730000000000001E-2",0
2017-03-21,5,1.77633333333333,"4.1320000000000003E-2",0
2017-04-18,7,1.50666666666667,"4.4839999999999998E-2",0.595266666666667
2017-05-02,10,1.63066666666667,"4.759E-2",0.3518
2017-05-16,20,1.86913333333333,"5.1040000000000002E-2",0
2017-05-30,7,0.856733333333333,"4.5190000000000001E-2",0.686716987004902
2017-06-13,10,1.96606666666667,"4.6920000000000003E-2",0
2017-06-27,20,2.07186666666667,"5.0349999999999999E-2",0
2017-07-11,5,1.4096,"4.2259999999999999E-2",0
2017-07-25,20,0.7468,"0",1
2017-08-08,7,2.259,"4.5100000000000001E-2",0
2017-08-22,10,1.8904,"4.718E-2",0
2017-09-05,7,2.82426666666667,"4.3950000000000003E-2",0
2017-09-19,10,1.75246666666667,"4.6469999999999997E-2",0
2017-10-03,5,1.99673333333333,"3.9789999999999999E-2",0
2017-10-18,7,1.93486666666667,"4.3900000000000002E-2",0
2017-11-07,10,1.62995,"4.9149999999999999E-2",0.48935
2017-12-05,10,0.2195,"0",1
2017-12-19,5,0.5097,"0",1
2018-01-09,10,0.9338,NA,1
2018-01-23,3,1.95535,"4.2560000000000001E-2",0.25545
2018-02-06,7,1.2912,"0",1
2018-02-20,20,1.1383,"6.4140000000000003E-2",0.55735
2018-03-06,5,1.2942,"5.4519999999999999E-2",0.39805
2018-03-20,10,1.1403,"6.1839999999999999E-2",0.6005
2018-04-03,3,2.0006,"4.632E-2",0
2018-04-11,7,2.0668,"5.7119999999999997E-2",0.2068
2018-04-17,10,1.7278,"6.2129999999999998E-2",0
2018-04-24,20,1.9361,"6.8500000000000005E-2",0.574
2018-05-02,5,1.8924,"5.5919999999999997E-2",0
2018-05-08,3,1.9424,"4.7030000000000002E-2",0
2018-05-16,7,1.5007,"5.8650000000000001E-2",0.5085
